Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Oklahoma City Thunder,Los Angeles Lakers,95,116,+143,-167
N/A,New Orleans Pelicans,Detroit Pistons,109,93,-244,+206
N/A,Minnesota Timberwolves,Cleveland Cavaliers,106,123,+108,-127
N/A,Houston Rockets,Milwaukee Bucks,114,123,+343,-435
N/A,Phoenix Suns,Boston Celtics,111,90,-154,+133
N/A,Los Angeles Clippers,Orlando Magic,106,104,-370,+299
N/A,Washington Wizards,Utah Jazz,98,123,+229,-278
N/A,Miami Heat,Chicago Bulls,118,92,+108,-125
N/A,Memphis Grizzlies,Houston Rockets,113,106,-345,+282
N/A,Cleveland Cavaliers,Sacramento Kings,117,103,-250,+209
N/A,San Antonio Spurs,Denver Nuggets,112,127,-109,-108
N/A,Philadelphia 76ers,Golden State Warriors,102,93,+131,-154
N/A,New York Knicks,Milwaukee Bucks,97,112,+202,-238
N/A,Detroit Pistons,Brooklyn Nets,104,116,+250,-303
N/A,San Antonio Spurs,New Orleans Pelicans,112,97,-128,+110
N/A,Oklahoma City Thunder,Dallas Mavericks,84,103,+150,-175
N/A,Portland Trail Blazers,Minnesota Timberwolves,111,116,-145,+125
N/A,Los Angeles Lakers,Orlando Magic,106,94,-455,+369
N/A,Toronto Raptors,Sacramento Kings,124,101,-185,+160
N/A,Indiana Pacers,Golden State Warriors,100,102,+150,-175
N/A,Cleveland Cavaliers,Miami Heat,105,94,-208,+175
N/A,Boston Celtics,Milwaukee Bucks,117,103,-106,-111
N/A,Atlanta Hawks,Houston Rockets,126,132,-556,+418
N/A,Memphis Grizzlies,Philadelphia 76ers,126,91,+114,-133
N/A,Dallas Mavericks,Charlotte Hornets,120,96,-141,+122
N/A,Denver Nuggets,Washington Wizards,113,107,-164,+140
N/A,Los Angeles Clippers,Phoenix Suns,111,95,+136,-156
N/A,New York Knicks,Golden State Warriors,96,105,+194,-233
