Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Utah Jazz,Chicago Bulls,117,119,+143,-169
N/A,Atlanta Hawks,Cleveland Cavaliers,112,101,-145,+124
N/A,Houston Rockets,Los Angeles Clippers,116,122,+204,-263
N/A,Philadelphia 76ers,Memphis Grizzlies,109,115,-172,+145
N/A,Washington Wizards,Orlando Magic,109,119,+213,-263
N/A,Denver Nuggets,Phoenix Suns,107,117,-385,+301
N/A,Dallas Mavericks,Indiana Pacers,120,137,-222,+179
N/A,Houston Rockets,San Antonio Spurs,114,101,-278,+223
N/A,Cleveland Cavaliers,Boston Celtics,105,104,+301,-385
N/A,Brooklyn Nets,Philadelphia 76ers,112,107,-105,-111
N/A,Miami Heat,Detroit Pistons,118,110,-625,+440
N/A,New York Knicks,Atlanta Hawks,100,116,-122,+102
N/A,Toronto Raptors,New Orleans Pelicans,98,139,+343,-455
N/A,Charlotte Hornets,Orlando Magic,89,101,+282,-357
N/A,Los Angeles Lakers,Oklahoma City Thunder,116,104,-104,-112
N/A,Sacramento Kings,Chicago Bulls,109,113,-250,+199
N/A,Utah Jazz,Washington Wizards,127,115,-213,+169
N/A,Milwaukee Bucks,Los Angeles Clippers,113,106,+114,-128
N/A,Minnesota Timberwolves,Portland Trail Blazers,119,114,-1429,+836
N/A,Brooklyn Nets,Memphis Grizzlies,102,106,-455,+336
N/A,Phoenix Suns,Oklahoma City Thunder,110,118,+154,-185
N/A,Cleveland Cavaliers,New York Knicks,98,107,-182,+152
N/A,San Antonio Spurs,Indiana Pacers,117,105,+209,-263
N/A,Orlando Magic,Detroit Pistons,113,91,-588,+421
N/A,Toronto Raptors,Charlotte Hornets,111,106,-303,+237
N/A,Boston Celtics,Golden State Warriors,140,88,-345,+267
N/A,Minnesota Timberwolves,Los Angeles Clippers,88,89,-141,+119
N/A,Dallas Mavericks,Philadelphia 76ers,116,120,-323,+252
N/A,Phoenix Suns,Houston Rockets,109,118,-417,+313
N/A,Los Angeles Lakers,Denver Nuggets,114,124,-103,-115
